Store_ID,ID
149313,277584084
149313,277584087
149313,277584241
149313,277584251
149313,277584253
149313,277584275
149313,277584279
149313,277584493
149313,277584497
149313,277584503
149313,277584508
149313,277584517
149313,277584525
149313,277584546
149313,277584561
149313,277584635
149313,277584752
149313,277584823
149313,277584829
149313,277584914
149313,277584915
149313,277584970
149313,277584993
149313,277585070
149313,277585139
149313,277585142
149313,277585204
149313,277585237
149313,277585250
149313,277585251
149313,277585310
149313,277585317
149313,277585343
149313,277585367
149313,277585397
149313,277585405
149313,277585423
149313,277585424
149313,277585444
149313,277585445
149313,277585578
149313,277585647
149313,277585836
149313,277585987
149313,277586070
149313,277586154
149313,277586929
149313,277586935
149313,277586984
149313,277587022
149313,277587090
149313,277587105
149313,277587114
149313,277587135
149313,277587145
149313,277587154
149313,277587159
149313,277587169
149313,277587184
149313,277587196
149313,277587222
149313,277587243
149313,277587312
149313,277587690
149313,277587691
149313,277587699
149313,277587700
149313,277587702
149313,277587709
149313,277587710
149313,277587717
149313,277587721
149313,277587725
149313,277587884
149313,277588114
149313,277588280
149313,277588435
149313,277588631
149313,277592177
149313,277596887
149313,277769751
149313,277771069
149313,277773903
149313,277775731
149313,277778617
149313,277779400
149313,277780837
149313,277787526
149313,277823430
149313,277928325
149313,277929234
23941,238374786
149313,277954178
149313,277954624
149313,277954626
149313,277955504
149313,277956021
149313,277956482
149313,277958803
149313,277959063
149313,277959074
149313,277959138
149313,277959505
149313,277960825
149313,277960977
149313,277961009
149313,277961034
149313,277961126
149313,277961365
149313,277961480
149313,277961530
149313,277962515
149313,277962875
149313,277963184
149313,277963313
149313,277963354
149313,277963465
149313,277963738
23941,238381125
23941,238381803
23941,238382767
149313,277968468
149313,277969157
149313,277969167
149313,277969185
149313,277969368
149313,277969933
149313,277970140
149313,277970861
149313,277970936
149313,277971559
149313,277971961
149313,277971976
149313,277973049
149313,277973766
149313,277974238
149313,277974240
149313,277974772
149313,277976912
149313,277976919
149313,277976927
149313,277976987
149313,277977000
149313,277977046
149313,277977050
149313,277977074
149313,277977075
149313,277977115
149313,277977120
149313,277977179
149313,277977196
149313,277977252
149313,277977520
149313,277977719
149313,277978422
149313,277978585
149313,277979113
149313,277979359
149313,277979368
149313,277979833
149313,277981758
149313,277988385
149313,278026330
151884,278100612
151884,278100615
151884,278100764
151884,278100767
151884,278100785
151884,278100842
151884,278100852
151884,278101221
151884,278101518
151884,278101667
151884,278101677
151884,278101998
151884,278101999
151884,278102004
151884,278102005
151884,278102083
151884,278102097
151884,278102347
151884,278102423
151884,278102567
151884,278102576
151884,278102626
151884,278102693
151884,278102708
151884,278102739
151884,278103082
151884,278103245
151884,278103255
151884,278103523
151884,278103531
151884,278103569
151884,278103668
151884,278103883
151884,278107350
151884,278107959
151884,278108400
151884,278108854
151884,278109109
151884,278109110
151884,278109218
151884,278109498
151884,278109960
151884,278110152
151884,278110605
151884,278112445
151884,278115081
151884,278125515
67833,204227306
67833,238544349
36570,278270249
36570,278270257
36570,278270259
36570,278270268
36570,278270270
36570,278270271
36570,278270303
36570,278270311
36570,278270320
36570,278270573
36570,278270593
36570,278270601
36570,278270648
36570,278270658
36570,278270729
36570,278271039
36570,278271060
36570,278271143
36570,278271199
36570,278271687
36570,278272301
36570,278272690
36570,278272853
36570,278272954
36570,278272961
36570,278273213
36570,278273356
36570,278273420
36570,278273422
36570,278273428
36570,278273580
36570,278273678
36570,278273738
36570,278273741
36570,278274048
36570,278274271
36570,278274324
67833,204286108
67833,204286127
67833,204286128
67833,204286138
67833,204286255
67833,204286302
36570,278292280
149313,278314719
149313,278320661
67833,204307021
36570,278323124
36570,278323190
67833,204309747
149313,278334757
67833,204513845
67833,204513851
67833,204513909
67833,204513922
67833,204513923
67833,204513929
67833,204513985
175453,278822860
36570,278892184
36570,278893912
36570,278894005
36570,278896086
36570,278897195
36570,278897758
151884,279047508
36570,279067386
151884,279126001
67833,204893270
67833,204893374
67833,204893413
67833,204893609
67833,204893698
67833,204893874
151884,279263207
151884,279263213
151884,279263218
151884,279263219
151884,279263224
151884,279263442
151884,279263462
151884,279263487
151884,279263549
151884,279264219
151884,279264221
151884,279264222
151884,279264225
151884,279264914
151884,279265048
151884,279265194
151884,279265355
151884,279265380
151884,279268164
151884,279268166
151884,279268594
151884,279268596
151884,279268612
151884,279268653
151884,279268656
151884,279268663
151884,279268665
151884,279268674
151884,279268675
151884,279268722
151884,279273084
151884,279403254
151884,279403255
151884,279403256
151884,279403262
151884,279403273
151884,279404677
151884,279404679
151884,279405240
151884,279405641
151884,279406413
151884,279406655
151884,279407167
151884,279407169
151884,279407240
151884,279407650
151884,279407713
151884,279407743
151884,279409992
151884,279409993
151884,279409994
151884,279409995
151884,279409996
151884,279409997
151884,279410637
151884,279410638
151884,279410666
151884,279410677
151884,279410713
151884,279411283
151884,279416837
151884,279417413
